eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
,,997872,407.39,27,31119,414,709.3480189799999,,,,,,,,,,,
297.8,545.2325469468757,998000,,,,,,3.881448745727539,4870,4.117162227630615,0.2,0.1707663,0.0003,0.8790825754404068,-5.3838880732655525,0.4923828125,44.95316502451897,0.016233278450090437
421.8,721.5424618021977,999000,,,,,,,,,,,,,,,,
,,999920,399.58,27,31197,415,697.70829345,,,,,,,,,,,
442.2,748.5395554247822,1000000,,,,,,3.930074691772461,4880,28.901046752929688,0.2,0.15910372,0.0003,0.902908943593502,-5.3875480279326435,0.50693359375,25.345257063955067,0.018496423223405146
295.4,561.1850093601104,1001000,,,,,,,,,,,,,,,,
,,1001968,399.67,27,31277,416,698.6177538499999,,,,,,,,,,,
270.6,468.9486452833124,1002000,,,,,,3.990920066833496,4890,8.294209480285645,0.2,0.22296268,0.0003,0.8754774928092957,-5.408906191587448,0.5517578125,54.02371236234903,0.06683498446946032
236.2,462.68696142811314,1003000,,,,,,,,,,,,,,,,
189.8,371.0885750516951,1004000,,,,,,,,,,,,,,,,
,,1004016,401.76,27,31361,417,703.2443902999998,,,,,,,,,,,
329.4,598.7775562682509,1005000,,,,,,4.007282733917236,4900,6.304119110107422,0.2,0.15387675,0.0003,0.8938008546829224,-5.417392112314701,0.48857421875,71.37084912955761,0.004468277588603087
271.2,514.9587256594219,1006000,,,,,,,,,,,,,,,,
,,1006064,402.11,27,31437,418,705.3282732499997,,,,,,,,,,,
340.2,576.0082688468756,1007000,,,,,,4.019067764282227,4910,22.287729263305664,0.2,0.5162834,0.0003,0.8496140539646149,-5.420133812725544,0.52421875,136.38257170021535,0.042421939459745775
299.4,525.6473532272823,1008000,,,,,,,,,,,,,,,,
,,1008112,403.98,27,31512,419,702.73277015,,,,,,,,,,,
308.4,513.0180991045083,1009000,,,,,,4.064600467681885,4920,18.428817749023438,0.2,0.49555504,0.0003,0.8744983822107315,-5.432786495983601,0.5486328125,89.06410145163537,0.04500674491864629
318.6,523.3849187605971,1010000,,,,,,,,,,,,,,,,
,,1010160,406.67,27,31586,420,701.7189036100001,,,,,,,,,,,
302.8,525.6579072343848,1011000,,,,,,4.119646072387695,4930,3.9703409671783447,0.2,0.33178222,0.0003,0.9051680341362953,-5.4592348918318745,0.537939453125,41.03086396306753,0.042440875081229026
317.8,553.482721939106,1012000,,,,,,,,,,,,,,,,
,,1012208,404.59,27,31660,421,695.6128809999999,,,,,,,,,,,
347.6,551.7754766470025,1013000,,,,,,4.190517425537109,4940,2.944943904876709,0.2,0.17630646,0.0003,0.9200781732797623,-5.48278362005949,0.53134765625,40.31574094519019,0.04611976497399155
269.2,484.33208607461273,1014000,,,,,,,,,,,,,,,,
,,1014256,399.21,27,31737,422,687.2281524000001,,,,,,,,,,,
284.0,502.3887514031609,1015000,,,,,,4.172544002532959,4950,17.32024574279785,0.2,0.47418106,0.0003,0.8059108108282089,-5.488218973577022,0.57080078125,156.4308723270893,0.03438435495190788
276.2,458.6749376936321,1016000,,,,,,,,,,,,,,,,
,,1016304,390.55,27,31812,423,671.8733636500001,,,,,,,,,,,
145.0,233.9610014810205,1017000,,,,,,4.202927589416504,4960,16.658266067504883,0.2,0.26166463,0.0003,0.7817326486110687,-5.488558900356293,0.5234375,171.3744632780552,0.03905796510516666
121.6,212.76816314403914,1018000,,,,,,,,,,,,,,,,
,,1018352,387.61,27,31870,424,667.6771781499999,,,,,,,,,,,
270.2,433.36041608581434,1019000,,,,,,4.240847110748291,4970,25.83015251159668,0.2,0.33429965,0.0003,0.8381621241569519,-5.5020329028368,0.61875,135.57111817002297,0.060956391107174566
139.6,228.77012838633817,1020000,,,,,,,,,,,,,,,,
,,1020400,388.34,27,31937,425,660.9833185399999,,,,,,,,,,,
127.0,220.7047654819973,1021000,,,,,,4.305678367614746,4980,24.957134246826172,0.2,0.37051803,0.0003,0.8359156250953674,-5.526825317740441,0.564599609375,95.69402952194214,0.037043503200402485
193.4,313.80915999362986,1022000,,,,,,,,,,,,,,,,
,,1022448,365.08,27,32001,426,618.9309980599999,,,,,,,,,,,
162.0,268.6687506118789,1023000,,,,,,4.355311393737793,4990,69.82770538330078,0.2,0.5318426,0.0003,0.7034657597541809,-5.544755813479424,0.6544921875,223.1960308909416,0.07837670166045427
97.0,164.54265008585935,1024000,,,,,,,,,,,,,,,,
,,1024496,336.45,27,32065,427,562.5694311899999,,,,,,,,,,,
94.8,164.31680455867246,1025000,,,,,,4.401734352111816,5000,44.358299255371094,0.2,0.356822,0.0003,0.7559826523065567,-5.56930096745491,0.548876953125,203.3111004114151,0.052872467912675344
126.6,225.70234221022983,1026000,,,,,,,,,,,,,,,,
,,1026544,283.32,27,32132,428,465.85918102999995,,,,,,,,,,,
