eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
,208256,,-4.04894666,47,163.55,3297,29,,,,,,,,,,,
-0.5573741042899201,209000,161.0,,,,,,1010,0.6940646171569824,-0.05024431150523014,0.2,0.566357421875,0.7863544339779764,0.22233841,-2.454598952829838,0.0003,0.03567016124725342,0.8109193444252014
-0.8075733679019322,210000,161.0,,,,,,,,,,,,,,,,
,210304,,-4.196057559999999,48,163.56,3364,29,,,,,,,,,,,
-1.8774643345619553,211000,161.0,,,,,,1020,0.6600923538208008,-0.05420773691439536,0.2,0.575830078125,1.095589543832466,0.30715263,-2.3955614805221557,0.0003,0.027170635759830475,0.7830593585968018
-1.3035160514424207,212000,161.0,,,,,,,,,,,,,,,,
,212352,,-4.9117057299999995,49,164.24,3432,29,,,,,,,,,,,
-4.161257874636067,213000,161.0,,,,,,1030,0.4115599989891052,-0.0321874690707773,0.2,0.559033203125,2.4572222853079437,0.2988632,-2.338579448312521,0.0003,0.17414724826812744,0.7695646286010742
0.7244107219965372,214000,160.6,,,,,,,,,,,,,,,,
,214400,,-5.06082198,50,165.14,3500,29,,,,,,,,,,,
-2.598026013711933,215000,161.0,,,,,,1040,0.7155921757221222,-0.039431787037756294,0.2,0.58994140625,1.095562528539449,0.3256196,-2.3032064959406853,0.0003,0.10659012198448181,0.7493829727172852
-10.908928207948339,216000,161.0,,,,,,,,,,,,,,,,
,216448,,-5.10108394,51,166.78,3568,29,,,,,,,,,,,
-4.345108448615792,217000,161.0,,,,,,1050,0.5920380055904388,-0.03138890934642404,0.2,0.622412109375,1.2985571546014398,0.24137205,-2.2642884075641634,0.0003,0.046627476811409,0.7427372932434082
-0.690119647038955,218000,160.6,,,,,,,,,,,,,,,,
,218496,,-5.61674923,52,168.39,3635,29,,,,,,,,,,,
-2.2057958297766165,219000,161.0,,,,,,1060,0.5304499566555023,-0.029250629985472187,0.2,0.619482421875,2.0329371999949215,0.39667678,-2.230718260258436,0.0003,0.06766346842050552,0.7286555767059326
-2.912852669502172,220000,161.0,,,,,,,,,,,,,,,,
,220544,,-5.675018399999998,53,166.77,3703,29,,,,,,,,,,,
-1.4515206070020212,221000,161.0,,,,,,1070,0.5084870755672455,-0.03167242986673955,0.2,0.63837890625,2.3664495516568422,0.332277,-2.1963022738695144,0.0003,0.20829054713249207,0.7163206338882446
-1.5628438031344558,222000,160.2,,,,,,,,,,,,,,,,
,222592,,-5.980049079999999,54,166.77,3771,29,,,,,,,,,,,
-2.4927751345167053,223000,160.4,,,,,,1080,0.7447468936443329,-0.041073285954189485,0.2,0.612890625,1.0394866629969328,0.29090363,-2.155126562714577,0.0003,-0.012184388935565948,0.6954843997955322
-5.3334797794159385,224000,161.0,,,,,,,,,,,,,,,,
,224640,,-6.153314270000001,55,166.78,3839,29,,,,,,,,,,,
-4.93054027406688,225000,161.0,,,,,,1090,0.6472881436347961,-0.039491516264388335,0.2,0.632177734375,0.705873973830603,0.36536825,-2.0805793039500715,0.0003,0.09013964980840683,0.6623225808143616
-1.7785370441852137,226000,161.0,,,,,,,,,,,,,,,,
,226688,,-6.024913969999997,56,166.77,3907,29,,,,,,,,,,,
-0.18257230301751406,227000,160.2,,,,,,1100,0.6244937181472778,-0.039123719983035696,0.2,0.656884765625,0.9520703290589154,0.38537225,-2.00053502433002,0.0003,0.030153438448905945,0.6449054479598999
0.8312524016888346,228000,159.6,,,,,,,,,,,,,,,,
,228736,,-6.412302920000001,57,166.75,3974,29,,,,,,,,,,,
4.9397037903640015,229000,160.8,,,,,,1110,0.7249144911766052,-0.04987193294800818,0.2,0.650048828125,1.2565152456518263,0.53921473,-1.9497997935861349,0.0003,0.023773588240146637,0.6306397318840027
-1.87926163700904,230000,160.0,,,,,,,,,,,,,,,,
,230784,,-4.845547229999999,58,166.78,4042,29,,,,,,,,,,,
-6.271158651153383,231000,160.4,,,,,,1120,0.6855317652225494,-0.032647833175724374,0.2,0.66748046875,1.1653055283008142,0.3938609,-1.892085487395525,0.0003,0.017901122570037842,0.6084779500961304
0.3170666638048715,232000,159.8,,,,,,,,,,,,,,,,
,232832,,-4.6798052000000006,59,166.4,4111,29,,,,,,,,,,,
