train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
40979,15,-46.85097504,112.65511549000001,98.52,41080,592,0.6906442046165466,2639,0.0003,0.2938346266746521,0.079473205,,
41269,15,-45.43069839,112.8386134,97.04,41370,596,0.6915716528892517,2653,0.0003,-0.585451603,0.080270573,,
41612,15,-47.27606964,114.43013867000002,97.33,41713,600,0.6930273771286011,2668,0.0003,-0.177991986,0.081027791,,
41899,,-45.98794937,,,42000,,0.7807015180587769,,0.0003,-0.048641652,0.082077935,188.6,143.9746810744553
42065,15,-48.74274445,116.70306292000001,97.87,42166,604,0.7521783709526062,2703,0.0003,0.10611198842525482,0.082699612,,
42499,15,-46.41196442,117.9336664,97.96,42600,608,0.6887403130531311,2721,0.0003,0.049076945,0.083553798,,
42899,,-47.8913269,,,43000,,0.6561018228530884,,0.0003,0.20794303715229034,0.084407821,293.8,414.49949460636856
43004,15,-46.44355011,119.80408906000001,99.53,43105,612,0.6687372922897339,2763,0.0003,0.17628957331180573,0.084818542,,
43341,15,-46.76785278,120.82531693000001,99.95,43442,616,0.7345522046089172,2778,0.0003,-0.019199044,0.085722759,,
43752,15,-45.85142517,122.20640872999998,101.47,43853,620,0.684047282,2795,0.0003,-0.119203508,0.086330093,,
43899,,-46.44109344,,,44000,,0.6457447409629822,,0.0003,0.4721769094467163,0.086760409,284.4,433.80373933376177
44089,15,-49.1384964,123.2086864,100.65,44190,624,0.6951056122779846,2831,0.0003,0.083016917,0.086837515,,
44368,15,-45.39539337,123.62679189000002,99.69,44469,628,0.6711402535438538,2845,0.0003,0.4522849917411804,0.088011518,,
44650,15,-49.84720612,123.90135618000001,99.12,44751,632,0.6877084970474243,2858,0.0003,0.22451551258563995,0.089094207,,
44899,,-46.4394989,,,45000,,0.7442302107810974,,0.0003,0.094933942,0.089904502,281.8,320.6735326097172
44947,15,-48.85752487,122.5009807,97.09,45048,636,0.7361243963241577,2893,0.0003,-0.432671875,0.090187773,,
45305,15,-47.35275269,125.57228287999999,95.99,45406,640,0.7488208413124084,2909,0.0003,-0.71236521,0.091636226,,
45522,15,-52.15291977,125.30002205999999,94.88,45623,644,0.7134546637535095,2920,0.0003,-0.397277862,0.091380268,,
45862,15,-50.22245407,125.5816995,94.05,45963,648,0.723789632,2935,0.0003,-0.208615333,0.092113428,,
45899,,-47.85208893,,,46000,,0.7637372016906738,,0.0003,-0.472615093,0.092199199,308.2,415.8699810843929
46160,15,-49.23027802,125.69504342999998,92.76,46261,652,0.7198780179023743,2971,0.0003,-0.137144074,0.092397429,,
46468,15,-48.81926346,125.203761,91.37,46569,656,0.7174522280693054,2986,0.0003,0.7081966996192932,0.091927707,,
46764,15,-49.38426971,124.22568325000002,90.51,46865,660,0.7135136127471924,2999,0.0003,0.055121392011642456,0.092866905,,
46899,,-50.30517578,,,47000,,0.738109291,,0.0003,1.0907227993011475,0.093221068,294.6,421.70625674969267
47051,15,-50.02690887,122.54051486000002,88.16,47152,664,0.7634210586547852,3035,0.0003,-0.045452885,0.093428776,,
47336,15,-52.40038681,122.5986737,87.42,47437,668,0.7679082751274109,3048,0.0003,0.1300899237394333,0.094742246,,
47605,15,-49.10897064,121.7791235,85.39,47706,672,0.7141504883766174,3061,0.0003,0.6306425333023071,0.095217042,,
47899,,-51.50466156,,,48000,,0.7570345401763916,,0.0003,-0.223721772,0.09590023,301.8,399.6804536734664
47986,15,-50.03342819,123.30618282000002,85.83,48087,676,0.7074691653251648,3100,0.0003,-0.224621609,0.096246175,,
48212,15,-48.62892532,123.2358959,85.17,48313,680,0.7084725499153137,3111,0.0003,0.14524340629577637,0.097053021,,
48585,15,-50.03559875,122.74391490000002,84.03,48686,684,0.7345966696739197,3127,0.0003,0.5278552174568176,0.097341463,,
48899,,-49.2605629,,,49000,,0.7749589085578918,,0.0003,-0.202525705,0.09746749,303,401.8505957517547
